Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,West Bank,Jericho,PSE,PS0135,PS01,April,2025,20,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,April,2025,59,4
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,April,2025,294,553
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,April,2025,99,247
Palestine,West Bank,Tubas,PSE,PS0105,PS01,April,2025,19,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,April,2025,24,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,April,2025,36,1
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,April,2025,149,195
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,April,2025,110,98
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,April,2025,32,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,April,2025,75,7
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,April,2025,42,0
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,May,2025,265,530
Palestine,West Bank,Nablus,PSE,PS0115,PS01,May,2025,112,8
Palestine,West Bank,Hebron,PSE,PS0150,PS01,May,2025,82,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,May,2025,42,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,May,2025,26,1
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,May,2025,98,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,May,2025,342,622
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,May,2025,174,503
Palestine,West Bank,Tubas,PSE,PS0105,PS01,May,2025,22,6
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,May,2025,20,1
Palestine,West Bank,Salfit,PSE,PS0125,PS01,May,2025,49,2
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,May,2025,185,362
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,May,2025,67,90
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,May,2025,26,1
Palestine,West Bank,Jenin,PSE,PS0101,PS01,May,2025,84,0
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,May,2025,38,0
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,June,2025,287,879
Palestine,West Bank,Nablus,PSE,PS0115,PS01,June,2025,97,2
Palestine,West Bank,Hebron,PSE,PS0150,PS01,June,2025,54,2
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,June,2025,21,1
Palestine,West Bank,Jericho,PSE,PS0135,PS01,June,2025,10,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,June,2025,69,5
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,June,2025,371,552
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,June,2025,96,262
Palestine,West Bank,Tubas,PSE,PS0105,PS01,June,2025,16,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,June,2025,18,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,June,2025,16,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,June,2025,180,341
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,June,2025,44,370
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,June,2025,39,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,June,2025,67,1
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,June,2025,40,1
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,July,2025,367,1220
Palestine,West Bank,Nablus,PSE,PS0115,PS01,July,2025,102,4
